Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BootSwitch1,SAMZO G4R0015010,SAMZO G4R0015010,116.7,-83.55,180,top
C1,100nf,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,119.425,-114.325,-90,top
C2,100nf,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,111.575,-91.75,90,top
C3,2.2uf,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,92.15,-81,180,top
C4,2.2uf,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,103.05,-85.45,180,top
C5,100nf,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,92.15,-83.15,180,top
C6,100nf,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,93.15,-74.6,90,top
C7,100nf,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,107.7,-71.3,0,top
C8,1uf,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,91.575,-63.8875,0,top
C9,100nf,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,91.575,-69.6875,0,top
C10,100nf,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,106.25,-84.95,-90,top
C11,100nf,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,108.65,-74.65,-90,top
C12,1uf,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,94.575,-68.7875,90,top
C13,100nf,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,96.575,-68.7875,90,top
C14,18p,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,103.8,-68.26875,0,top
C15,18p,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,99.126,-66.56775,-90,top
C16,100nf,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,92.3,-90.2375,-90,top
C17,10u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,103.9375,-91.4,90,top
C18,1uf,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,74.98869,-91.459375,-90,top
C19,1uf,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,80.45744,-89.209375,0,top
C20,47uf,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,80.45744,-87.209375,0,top
C21,100nf,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,80.45744,-85.209375,0,top
C22,100nf,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,116.675,-63.9,0,top
C23,1uf,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,74.65,-108.95625,-90,top
C24,1uf,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,80.05,-106.55625,0,top
C25,47uf,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,80.05,-104.55625,0,top
C26,100nf,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,80.05,-102.55625,0,top
C27,1uf,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,74.9375,-127.157125,-90,top
C28,1uf,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,80.255375,-124.78125,0,top
C29,47uf,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,80.255375,-122.644625,0,top
C30,100nf,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,80.255375,-120.644625,0,top
C31,4.7u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,92.1,-85.2,180,top
D1,NeoPixel_THT,LED_Kingbright_AAA3528ESGCT,116.025,-114.325,0,top
D2,D_Schottky,D_2114_3652Metric,90.8,-96.2,0,top
D3,D_Schottky,D_2114_3652Metric,88,-89.4,90,top
D4,SRV05-4.TCT,SOT95P280X145-6N,82.85,-68.225,-90,top
FB1,FerriteBead,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,92.575,-66.7875,-90,top
PowerLED1,RLED,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,115.0625,-104.75,-90,top
R1,10kr,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,108.615,-92.75,0,top
R2,100kr,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,110.83,-83.52,0,top
R3,1kr,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,117.9625,-105.65,0,top
R4,330r,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,111.775,-114.975,180,top
R5,100kr,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,77.83869,-94.209375,0,top
R6,120r,R_0603_1608Metric,117.46,-74.99,180,top
R7,5.1kr,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,77.85,-74.025,0,top
R8,5.1kr,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,82,-64.075,90,top
R9,100kr,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,77.55,-111.75625,0,top
R10,100kr,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,77.85,-129.775,0,top
RSTSwitch1,SAMZO G4R0015010,SAMZO G4R0015010,116.7,-91.3,180,top
U1,STM32F405RGT6,LQFP-64_10x10mm_P0.5mm,100.85,-77.65,-90,top
U2,LDL1117-3.3,SOT230P700X180-4N,98.5,-91.7,0,top
U3,TPS22917DBVR,SOT95P280X145-6N,78.08869,-91.659375,0,top
U4,SN65HVD230,SOIC-8_3.9x4.9mm_P1.27mm,116.825,-69.55,-90,top
U5,TPS22917DBVR,SOT95P280X145-6N,77.85,-109.05625,0,top
U6,TPS22917DBVR,SOT95P280X145-6N,77.9375,-127.157125,0,top
Y1,8mhz,Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering,102.601,-65.16775,180,top
